date,close,high,low,open,volume,btc_close,label
1424368800,0.0077,0.0077,0.00759839,0.00759839,0.00775462,225.0,0.00755606
1424376000,0.00770632,0.00770632,0.00758889,0.00761609,0.10935396,244.0,0.00756162
1424383200,0.00771075,0.00771075,0.00768484,0.00770015,0.03012582,244.0,0.0076049
1424390400,0.00762097,0.00771134,0.00762097,0.0077012,0.08700065,244.0,0.00752707
1424397600,0.00762871,0.00762871,0.00762871,0.00762871,0.00060715,244.0,0.00752707
1424404800,0.00769334,0.00769334,0.00759608,0.00762557,0.01923294,244.0,0.00751139
1424412000,0.00758888,0.00758892,0.00758888,0.00758892,0.32953337,240.25011568,0.00753043
1424419200,0.00762715,0.00762987,0.00754536,0.00758888,1.37520259,245.0,0.00753043
1424426400,0.00762797,0.00762937,0.00750044,0.00762937,0.10020543,240.25,0.00753076
1424433600,0.00753737,0.00762911,0.00753254,0.00762911,0.21794062,240.25,0.00758988
1424440800,0.00760147,0.00763003,0.00760147,0.0076198,0.00805857,240.25,0.00758765
1424448000,0.00761289,0.00762376,0.00752373,0.00752373,0.02059538,240.25,0.00758765
1424455200,0.00755606,0.00769712,0.00751272,0.00761587,0.27344518,240.25,0.0075301
1424462400,0.00756162,0.00756162,0.00756007,0.00756007,0.06530056,240.25,0.00759792
1424469600,0.0076049,0.00763593,0.0075501,0.0076235,0.05594147,240.25,0.00759792
1424476800,0.00752707,0.00759739,0.00752707,0.00759739,0.00444357,240.25,0.00759274
1424484000,0.00752707,0.00752707,0.00752707,0.00752707,0.0,240.25,0.0075301
1424491200,0.00751139,0.00761942,0.00751139,0.00759618,0.14916868,240.25,0.0075301
1424498400,0.00753043,0.00761363,0.00753043,0.00761363,0.01127134,240.25,0.00759735
1424505600,0.00753043,0.00753043,0.00753043,0.00753043,0.0,240.25,0.00759467
1424512800,0.00753076,0.00760902,0.00753076,0.00760902,0.31784259,240.25,0.0075949
1424520000,0.00758988,0.00759318,0.00758985,0.00759318,0.13590608,240.25,0.0075949
1424527200,0.00758765,0.00759723,0.00758765,0.00759723,0.01003511,240.25,0.00755893
