date,close,high,low,open,volume,btc_close,label
1439006400,0.0060005,50.0,0.0055,50.0,55.68184678,275.3858414,0.00290004
1439013600,0.004555,0.00719,0.0045001,0.0069,273.96753161,273.87911345,0.00314897
1439020800,0.00489075,0.005488,0.00435,0.0052777,146.20015812,281.0,0.00309
1439028000,0.00535,0.005488,0.004225,0.00497996,158.78303977,282.235975,0.00268
1439035200,0.00461,0.00583952,0.00432389,0.00510117,64.78494748,263.40708638,0.00270069
1439042400,0.00462143,0.0049,0.00442604,0.00461,80.46634974,262.64762661,0.00291999
1439049600,0.00355001,0.00477,0.00355,0.00462145,195.39908788,266.21932358,0.0029
1439056800,0.00306999,0.00355001,0.00262,0.00355001,77.00110087,269.8395914,0.00281032
1439064000,0.003499,0.00387,0.00295037,0.00306999,75.10751982,267.0,0.00293
1439071200,0.00312499,0.00386,0.0029,0.003499,78.41173873,263.0,0.00258069
1439078400,0.00250039,0.00335,0.0024,0.00299999,84.02327904,263.0,0.0025
1439085600,0.00294,0.00334499,0.0025,0.002655,42.84741842,266.17812159,0.00259
1439092800,0.00290004,0.0032,0.00261045,0.00288437,24.93797296,262.101,0.0025
1439100000,0.00314897,0.0041,0.00276001,0.00285019,127.39429513,266.34616581,0.002351
1439107200,0.00309,0.00323,0.002703,0.00295344,65.95100071,266.22737346,0.00253
1439114400,0.00268,0.0031765,0.00268,0.00300195,69.25254367,266.22737346,0.00253999
1439121600,0.00270069,0.0028258,0.00262591,0.00270014,38.9341226,266.22737346,0.00244799
1439128800,0.00291999,0.002966,0.00265101,0.00278985,25.2098243,266.22737346,0.00255
1439136000,0.0029,0.0031644,0.00270001,0.00291999,94.68027834,266.22737346,0.00269998
1439143200,0.00281032,0.00296998,0.00257997,0.00294416,130.31812681,269.75811042,0.00259999
1439150400,0.00293,0.00304998,0.00277001,0.00286747,72.08927673,269.75811042,0.00254937
1439157600,0.00258069,0.00302995,0.0025,0.00300999,122.48529524,268.86343705,0.00264498
1439164800,0.0025,0.0027,0.0022,0.00264996,119.50718309,268.86343705,0.00258994
1439172000,0.00259,0.00273,0.00244621,0.00249999,10.19950449,268.86343705,0.00267997
1439179200,0.0025,0.00263999,0.00246,0.00262893,23.12370235,268.86343705,0.00264999
1439186400,0.002351,0.00265,0.00225987,0.00250004,110.0457029,268.86343705,0.00255
1439193600,0.00253,0.00253713,0.0023894,0.0023894,11.72857307,268.86343705,0.00260502
1439200800,0.00253999,0.00255,0.00231002,0.00252999,68.01916354,268.86343705,0.00258991
1439208000,0.00244799,0.002557,0.00244699,0.00253999,46.06515635,262.1,0.002669
1439215200,0.00255,0.00255,0.00244969,0.00244971,44.45736454,262.1,0.00298998
1439222400,0.00269998,0.0029022,0.00254,0.00254541,101.31084498,262.1,0.0033
1439229600,0.00259999,0.00289,0.00250001,0.00267999,78.87921715,266.21932357,0.00385998
1439236800,0.00254937,0.00275,0.00254937,0.0026,57.9174486,266.21932357,0.00394
1439244000,0.00264498,0.00265,0.0025044,0.0025495,47.11140457,266.21932357,0.00395009
1439251200,0.00258994,0.002677,0.00251415,0.00264959,72.62991668,266.21932357,0.00375001
1439258400,0.00267997,0.0027,0.00248901,0.00258059,159.71293581,266.21932357,0.00329899
1439265600,0.00264999,0.002726,0.002414,0.00267992,77.82629653,266.21932357,0.00353331
1439272800,0.00255,0.0027309,0.00250001,0.00263989,159.11422243,269.25604587,0.00362199
1439280000,0.00260502,0.00269,0.00251,0.00256,83.00855635,269.25604587,0.00414
1439287200,0.00258991,0.00267,0.00253111,0.00262,66.1436943,269.25604587,0.00450002
1439294400,0.002669,0.00267,0.00258002,0.00262,58.35619041,269.25604587,0.00449497
1439301600,0.00298998,0.003,0.00264004,0.00264004,219.51175526,262.22661887,0.00447499
1439308800,0.0033,0.00359,0.00295501,0.00298,578.32554517,262.22661887,0.00457508
1439316000,0.00385998,0.00393499,0.00327499,0.0033,396.77528798,262.36579507,0.00465008
1439323200,0.00394,0.0044,0.00344111,0.00376,689.61789251,269.25604587,0.00441
1439330400,0.00395009,0.00415,0.00370001,0.00393999,446.25181746,269.25604587,0.0045
1439337600,0.00375001,0.004111,0.00375001,0.00395464,151.15966457,264.79480172,0.00445
1439344800,0.00329899,0.0042,0.00290994,0.00375005,601.51727648,275.6263664,0.00453022
1439352000,0.00353331,0.0036732,0.00305005,0.00305006,106.8373646,275.6263664,0.00440007
1439359200,0.00362199,0.00387099,0.00349,0.00353996,163.59918482,275.6263664,0.00474909
1439366400,0.00414,0.00419898,0.00352083,0.00356001,280.64684542,275.6263664,0.00456706
1439373600,0.00450002,0.00455,0.0039,0.00418996,386.66186276,263.78584757,0.00502999
1439380800,0.00449497,0.004798,0.0042399,0.00454996,755.01843198,270.96947499,0.005495
1439388000,0.00447499,0.00449998,0.00399,0.00439997,626.62333121,271.33813395,0.005626
1439395200,0.00457508,0.004721,0.004311,0.00447499,381.14863222,268.365,0.00623
1439402400,0.00465008,0.0048,0.00441011,0.00457508,424.72500275,271.33813389,0.0075
1439409600,0.00441,0.0048822,0.00422387,0.00465008,587.95015053,265.413175,0.00713989
1439416800,0.0045,0.00469978,0.00440021,0.00440023,224.18728498,265.413175,0.00695489
1439424000,0.00445,0.00457318,0.00416,0.0045,234.29859447,265.413175,0.007315
1439431200,0.00453022,0.00477,0.00401,0.0044666,394.35689523,265.413175,0.007496
1439438400,0.00440007,0.00461,0.004364,0.00459777,120.51861606,263.39255361,0.00767939
